Scenario,Sub-scenario,Error,Avg Distance (km),25th Percentile (km),75th Percentile (km)
1,All,,3.9669778394097217,2.9749299999999996,4.67314
2,All,,3.895601726388889,2.9749299999999996,4.66525
3,All,,3.8374038378472224,2.97322,4.61166
4,All,,3.8693349057291666,2.97322,4.65379
5,All,,3.839782975173611,2.9456599999999997,4.6063525
6,All,,3.869699734027778,2.94633,4.66347
7,All,,3.5426528454861117,2.48048,4.08776
8,All,,3.478929599305555,2.48048,4.08506
9,All,,3.313501311284722,2.47144,3.9164375
10,All,,3.297525010763889,2.47144,3.7952600000000003
11,All,,3.2168880043402774,2.47144,3.74764
12,All,,3.2335775866319443,2.47144,3.75246
