Scenario,Sub-scenario,Error,Avg Travel Time (steps),25th Percentile (steps),75th Percentile (steps)
1,All,,3820.7071875,549.0,5554.25
2,All,,4775.15578125,545.0,7244.25
3,All,,3986.7578645833332,481.0,6467.25
4,All,,4408.907100694444,466.0,5716.25
5,All,,2876.313090277778,405.0,3450.25
6,All,,2689.0534548611113,392.0,3010.0
7,All,,444.95852430555556,254.0,516.0
8,All,,422.6859201388889,244.0,485.0
9,All,,291.41661458333334,215.75,348.0
10,All,,289.9605208333333,216.0,345.0
11,All,,263.0038020833333,206.0,309.0
12,All,,269.30967013888886,207.0,321.0
