vehicle_id,distance_travelled
27,2457.03
35,2457.04
38,2457.04
45,2433.58
12,2466.08
62,2457.04
4,2480.48
57,2457.04
71,2457.04
82,2457.03
16,2471.44
19,2480.48
69,2457.04
58,2471.44
5,2471.44
73,2471.44
10,2480.48
91,2471.44
17,2956.2
41,2471.44
54,2471.44
84,2480.48
14,2480.48
51,3340.03
8,3387.2
28,3338.29
37,2973.23
50,2939.89
76,2480.48
56,2939.89
29,2974.93
65,2471.44
21,2973.22
30,2480.48
60,2471.44
111,2471.44
106,2471.44
66,2480.48
33,2974.93
11,3387.54
156,2471.44
18,2973.22
26,2973.22
15,3368.3
124,2471.44
154,2442.64
36,2973.22
23,3775.91
43,3359.27
90,2954.29
61,2973.22
63,2973.22
93,2973.23
96,3359.27
52,2974.93
101,2480.48
133,2457.03
108,2471.44
102,2480.48
149,2471.44
189,2471.44
147,2480.48
186,2471.44
1,3795.32
174,2457.03
68,2974.93
165,2471.44
184,2471.44
144,2480.48
170,2433.58
197,2471.44
110,2945.26
162,2480.48
148,2480.48
32,3971.39
208,2457.04
172,2457.03
201,2480.48
3,3786.12
125,3339.69
39,3387.31
113,3700.74
114,2973.23
127,2956.0
6,3795.32
47,3752.46
116,3316.54
7,3795.32
140,2974.93
103,3740.93
190,2471.44
217,2471.44
228,2471.44
112,2974.93
77,3387.71
221,2480.48
132,3295.56
209,2471.44
247,2471.44
249,2433.58
40,3733.22
72,3775.91
81,3757.67
167,2480.48
239,2471.44
262,2419.18
191,2480.48
230,2442.63
152,3344.81
80,3682.74
94,3733.22
44,3387.71
198,2956.0
223,2433.58
219,2974.93
250,2433.58
142,3347.32
161,2480.48
222,2480.48
136,2973.22
275,2457.04
22,3971.39
53,4325.4
155,2974.93
259,2457.03
202,2974.93
9,3795.15
95,3724.19
130,2974.93
100,3756.67
258,2480.48
200,2480.48
67,3387.54
241,2965.9
25,3795.32
187,3738.39
231,2974.93
79,3795.15
232,2480.48
234,2471.44
269,2471.44
2,4378.75
24,3795.15
59,4287.71
87,3795.15
245,2913.84
46,3678.11
119,4291.14
203,3319.05
206,3349.06
20,3795.32
240,2471.44
83,3775.91
75,4335.36
121,3747.64
31,4330.18
185,3700.74
248,2480.48
251,2480.48
159,3740.93
213,3724.19
260,2480.48
313,2457.03
295,2480.48
104,3971.39
246,2471.44
229,2941.6
307,2471.44
118,4297.66
227,2956.0
86,3795.15
128,2973.22
177,2956.2
180,4290.22
274,2471.44
131,4297.67
179,2974.93
281,2471.44
214,2480.48
296,2471.44
218,2974.93
301,2471.44
263,2956.0
266,2480.48
163,4280.93
48,4958.52
109,4344.64
117,3971.39
317,2457.04
85,3971.39
137,4325.4
282,2471.44
171,4304.42
181,3370.97
283,2471.44
49,3678.11
151,4304.42
330,2457.04
99,3678.11
292,2471.44
308,2471.44
135,3971.39
278,2937.07
297,2928.04
105,4288.63
257,3747.64
216,2974.93
310,2471.44
289,2937.07
325,2471.44
178,3743.43
337,2471.44
360,2471.44
64,4668.06
150,3387.2
78,4373.02
371,2433.58
306,3295.56
13,4670.82
168,2974.93
309,2480.48
392,2433.58
42,4670.82
314,2471.44
323,2480.48
324,2471.44
207,3724.19
398,2471.44
338,2471.44
143,3743.43
55,4356.33
380,2466.08
304,3295.56
318,2941.8
358,2471.44
382,2466.08
70,4959.62
328,2941.8
173,3752.46
329,2480.48
195,4304.41
417,2471.44
370,2480.48
89,3795.15
120,3795.15
372,2471.44
196,4304.42
139,3678.11
361,2480.48
226,2974.93
122,4306.95
107,4087.76
280,2974.93
243,2956.0
291,2974.93
355,2928.04
388,2471.44
403,2471.44
34,4665.26
267,3319.05
340,2928.04
158,4318.59
442,2471.44
233,2974.93
390,2480.48
401,2466.08
115,3743.43
123,3387.71
311,2974.93
146,3795.15
145,3387.71
264,2973.22
253,3330.74
353,2480.48
354,3295.56
357,2480.48
302,3717.48
134,3387.71
188,3971.39
395,2471.44
74,4344.63
141,3682.74
176,3682.74
220,3682.74
423,2457.04
321,2937.07
396,2480.48
290,3724.19
271,2974.93
98,4670.81
164,3387.31
199,4321.15
153,4378.75
182,3387.2
293,4304.41
237,3387.71
433,2428.23
169,3795.32
238,3678.11
265,3357.53
88,4670.82
261,2974.93
236,3387.31
272,2974.93
408,2471.44
279,2974.93
389,2946.97
431,2471.44
205,3387.71
336,2956.0
342,3359.27
376,3700.74
434,2471.44
254,3755.07
126,3387.54
461,2457.03
129,4670.83
356,3762.67
391,2480.48
366,3364.22
183,4332.85
411,2457.03
138,3795.15
315,2956.0
418,2480.48
428,2480.48
211,3795.26
346,3335.39
157,3795.15
286,3795.26
288,3795.26
415,2471.44
477,2471.44
192,3795.32
481,2433.58
285,3971.39
244,2974.93
373,3724.19
453,2471.44
277,2974.93
454,2471.44
97,4373.07
333,4304.41
365,3333.22
276,3678.11
92,4958.52
268,3387.71
320,3366.73
386,3356.37
194,4965.85
379,3338.29
472,2922.67
363,3328.08
385,3724.19
166,3795.15
374,2974.93
255,3795.15
378,2974.93
518,2419.18
419,2471.44
212,3795.32
476,2457.04
332,3755.13
384,2973.22
441,2457.03
487,2442.63
364,4301.91
368,4327.94
193,3795.32
299,3387.31
273,3387.54
468,2471.44
536,2471.44
429,2480.48
432,2457.03
545,2471.44
252,3795.32
451,2480.48
490,2471.44
503,2480.48
546,2457.04
559,2471.44
522,2471.44
305,3771.81
467,2973.23
215,3795.15
530,2471.44
160,3795.15
270,3971.39
341,4332.68
424,2480.48
462,2956.0
521,2480.48
287,3795.15
416,4049.59
439,2480.48
507,2480.48
362,3738.39
224,4378.23
326,3971.39
458,3352.13
175,4670.82
421,2974.93
204,4959.62
316,3795.26
348,3387.54
375,2974.93
350,3387.54
445,2974.93
557,2471.44
256,4670.82
558,2471.44
335,3682.74
394,2973.22
501,2457.03
367,3387.54
402,3724.19
345,4332.84
473,3724.19
210,4958.51
397,3366.56
225,4373.07
514,2457.03
537,2471.44
616,2471.44
550,2480.48
595,2471.44
497,2937.07
542,2941.8
531,2941.8
339,3795.26
491,2480.48
485,2974.93
570,2457.03
511,2956.0
554,2480.48
343,3795.15
509,2480.48
513,2941.6
331,3971.39
533,2480.48
459,3347.48
541,2480.48
399,3387.71
471,2974.93
300,3795.15
547,2480.48
435,3740.93
450,3919.14
578,2471.44
404,3682.74
596,2471.44
349,3795.15
400,2973.22
438,3352.53
235,4670.83
426,3644.41
351,3387.2
377,4654.09
516,2946.97
412,3387.2
242,4373.07
613,2471.44
334,4372.9
604,2457.03
475,2974.93
298,3971.39
626,2480.48
585,2941.6
645,2442.63
284,4670.81
449,3326.5
327,3795.32
347,3387.54
456,2973.22
565,2480.48
610,2457.04
470,2973.22
620,2471.44
631,2471.44
666,2433.58
495,3724.19
574,2937.07
460,3714.94
344,4378.75
420,3387.54
447,4050.27
566,2922.87
410,3387.71
499,2974.93
649,2457.03
598,2480.48
436,3795.15
562,3709.77
484,3387.71
498,3740.93
606,2480.48
633,2480.48
567,2471.44
627,2471.44
409,4646.0
611,2480.48
573,3335.78
641,2480.48
440,4045.38
540,2480.48
560,2960.73
414,4087.76
548,2480.48
583,2480.48
637,2941.6
322,4651.58
444,3795.32
591,2480.48
312,3971.39
590,2480.48
624,2913.64
492,3387.31
601,2471.44
628,2480.48
527,2974.93
634,2471.44
651,2471.44
694,2471.44
489,3387.71
294,4670.82
599,2471.44
704,2442.64
405,3761.84
568,2946.97
625,2471.44
693,2442.64
642,2471.44
482,2974.93
525,2974.93
413,4958.52
657,2480.48
519,2956.0
691,2442.64
512,3340.03
319,4965.86
465,3387.54
387,4965.85
506,3756.67
667,2442.63
621,3724.19
703,2471.44
383,4670.82
656,2480.48
463,4630.6
623,3630.82
381,4373.07
615,3335.79
505,2973.22
544,2974.93
448,4654.08
466,3387.71
359,4670.83
430,4640.01
369,4958.52
534,2974.93
722,2471.44
644,2960.53
701,2471.44
303,4959.62
727,2442.64
455,4670.82
502,2974.93
711,2471.44
728,2457.04
457,4951.44
612,3645.02
729,2442.63
737,2457.03
749,2457.04
479,3795.32
532,4899.19
668,3295.56
602,3338.29
748,2471.44
406,4665.26
561,3747.64
635,3639.85
661,2480.48
469,4637.38
480,4670.83
563,3366.73
713,2457.03
653,3640.16
712,2480.48
584,2974.93
679,2974.93
393,4656.42
494,3795.32
603,3645.02
646,2974.93
524,2973.22
452,4937.04
551,4638.31
799,2442.63
528,4913.59
643,2480.48
682,3316.54
766,2480.48
593,3757.67
720,2457.04
523,3387.71
673,2480.48
493,4630.59
658,3349.99
685,2480.48
733,2956.0
500,4647.34
555,2974.93
614,3387.71
700,2480.48
761,2457.04
674,3616.71
352,4378.23
538,4890.14
632,2974.93
630,3387.71
718,2480.48
735,2480.48
754,2471.44
768,2457.04
486,3795.32
422,4670.82
526,4378.75
605,3778.58
425,4670.82
717,2480.48
517,3971.39
619,3771.87
740,2959.86
672,3771.87
680,2974.93
721,2457.03
788,2442.63
617,3971.39
508,4942.39
697,2480.48
795,2442.64
742,2480.48
716,3295.56
762,2471.44
787,2457.04
575,4602.0
774,2941.6
807,2442.64
478,4373.02
539,4913.59
569,3971.39
678,3631.13
504,4942.39
772,2471.44
488,4087.76
443,4668.06
698,2974.93
710,3659.09
747,2471.44
427,4959.62
597,4378.23
751,2471.44
802,2457.04
535,4087.76
752,2471.44
709,3719.98
736,2974.26
759,2471.44
464,4651.89
589,4642.55
664,3795.32
586,3795.32
648,3663.31
714,2928.24
496,3682.74
594,2973.22
794,2480.48
843,2433.58
705,3740.93
437,4373.07
769,2471.44
687,2974.26
825,2471.44
783,2471.44
640,2973.22
552,3795.15
791,3323.83
793,2471.44
831,2471.44
483,4654.08
767,2471.44
862,2442.63
407,4665.26
608,4611.67
781,2471.44
784,3607.37
827,2471.44
529,4922.64
792,2480.48
688,4049.59
571,3387.31
515,4942.39
446,4958.52
543,4965.85
581,3387.31
776,2956.0
647,3387.31
828,2480.48
553,3795.32
692,2974.93
840,2471.44
845,2457.03
849,2442.63
580,3795.32
582,3795.32
549,4665.25
618,3795.32
856,2480.48
556,4647.33
576,3795.15
600,3971.39
726,2974.93
753,2974.93
782,2964.2
790,2922.67
837,2466.08
739,3639.85
607,3795.15
724,4068.52
689,4021.58
662,4378.23
756,4036.04
588,3795.26
707,2973.22
841,2471.44
734,3335.79
629,3795.15
609,3387.54
771,3733.22
660,3387.71
770,2960.73
755,2973.22
652,2973.22
855,2480.48
908,2471.44
764,3356.77
564,4670.81
731,2974.93
817,3347.48
684,3755.13
810,2974.93
812,2941.6
898,2480.48
879,2471.44
744,4045.38
891,2433.58
885,2471.44
872,2471.44
925,2457.03
681,4582.84
686,4591.9
880,2937.07
730,4291.18
757,3764.38
706,3347.48
895,2457.04
654,4630.6
805,2941.6
699,4304.45
888,2433.58
950,2457.04
826,2956.0
956,2466.08
677,3387.71
936,2471.44
864,2937.07
863,2955.33
868,2941.6
715,3795.15
823,2480.48
830,2947.17
850,2480.48
884,2457.03
857,2480.48
832,3714.94
858,2480.48
800,3724.19
474,4670.83
659,3387.2
822,3663.34
671,3387.2
579,4665.26
859,2480.48
870,2457.03
871,3644.41
510,4668.06
874,2480.48
954,2471.44
869,2480.48
970,2471.44
824,2973.22
901,2480.48
912,2480.48
890,2471.44
915,2480.48
899,2471.44
520,4958.52
690,3387.54
913,2471.44
931,2471.44
975,2471.44
639,3387.54
935,2471.44
955,2442.63
676,4332.69
758,4311.87
922,2466.08
977,2433.58
980,2466.08
914,2480.48
675,4378.23
948,2457.03
965,2480.48
801,2974.93
923,2956.0
941,2956.0
982,2480.48
806,2974.93
902,2480.48
1051,2457.03
741,3971.39
804,4068.52
818,2974.93
892,3319.05
994,2442.63
696,4378.75
702,3795.32
725,4334.43
779,3971.39
916,3316.54
861,3740.93
959,3316.54
1052,2419.18
665,4318.64
876,2956.0
929,3333.28
1013,2471.44
587,4373.07
844,2974.93
636,4670.82
669,4670.82
976,2471.44
750,3795.26
815,3971.39
719,3795.15
798,4618.45
942,3316.54
1000,3724.19
865,3771.81
1001,2457.04
854,4054.12
978,2937.07
622,4373.07
1025,2913.84
896,3700.74
1028,2457.03
763,4651.57
905,2480.48
572,4373.08
993,2480.48
592,4373.08
760,2973.22
996,2480.48
777,3795.15
999,2471.44
1008,2480.48
738,3795.15
881,3738.39
1020,2480.48
1012,2471.44
1015,2442.63
987,2480.48
1063,2442.63
809,4614.22
811,3757.67
708,3795.15
780,3387.54
670,4958.51
785,3387.54
852,3682.74
1055,2471.44
889,4278.68
974,2937.07
786,3387.2
638,4670.82
963,3309.76
1059,2457.04
577,4965.86
983,3356.77
773,2973.22
969,3295.56
927,4280.93
1040,2480.48
1097,2433.58
835,3795.15
932,2974.93
1089,2457.04
836,3795.15
900,3764.38
1071,2471.44
820,2974.26
1027,2457.04
847,3971.39
851,2974.26
1053,2941.13
663,4373.08
765,4378.23
882,2974.26
808,4335.36
894,2974.26
1033,2471.44
1024,2471.44
814,3778.58
887,2973.22
1009,2480.48
1091,2457.04
745,4663.48
1037,2471.44
1054,3295.56
1123,2442.63
944,2974.93
1031,2480.48
1039,2480.48
1131,2442.63
1045,2480.48
957,3724.19
819,4316.11
926,3387.54
797,4951.45
1095,2471.44
1098,2471.44
953,2974.93
1044,2466.08
789,3971.39
1094,2471.44
991,3630.86
1078,2471.44
1138,2457.04
1147,2433.58
821,4087.76
848,3971.39
1068,2480.48
1088,2946.97
1105,2471.44
1096,2480.48
1011,2974.93
1115,2471.44
921,4297.66
1108,2937.07
1136,2457.04
796,3678.11
1006,3616.4
866,3387.54
778,4958.51
1079,2947.17
1110,2922.87
803,4378.75
838,4663.47
992,2928.04
1133,2471.44
1056,3583.07
683,4665.26
732,4665.26
743,4373.08
1093,2932.57
1151,2457.04
1111,2471.44
1155,2471.44
775,4342.14
917,4311.86
816,3740.93
949,3635.64
1130,2471.44
853,4958.52
995,4045.07
1081,2956.0
1084,2480.48
875,3764.38
971,3347.48
813,4958.51
650,4959.62
746,4670.83
1023,2956.0
1118,2457.03
655,4959.62
1166,2471.44
860,3387.71
839,4965.85
1101,2480.48
1018,4035.19
1158,2480.48
1160,2480.48
1169,2466.08
1193,2442.63
1002,2956.0
1004,4304.41
964,2974.93
833,3795.32
1065,3316.54
1153,2941.8
873,3795.32
1075,3312.3
883,3795.32
829,4965.86
1061,4026.14
1126,2480.48
918,3795.32
1149,2480.48
1170,2480.48
1174,2480.48
1072,2974.93
867,3387.2
1175,2480.48
1003,3731.68
968,3731.68
1207,2932.77
973,2974.93
1161,2471.44
897,3387.2
951,4337.89
997,4618.45
1064,3740.93
1163,2932.57
1209,2442.64
1005,4321.19
1168,2932.57
930,3387.2
1167,2457.03
1202,2457.04
906,4378.61
972,3747.64
1187,2471.44
1016,4087.76
886,4665.26
846,4635.2
939,3387.54
1124,3309.76
947,3795.15
1060,3639.89
903,4373.07
1048,4026.1
1014,4611.67
1077,3333.25
1172,2471.44
1137,3606.52
1198,2471.44
966,3755.13
1199,2471.44
940,4670.82
1215,2471.44
1195,2471.44
910,4965.84
945,4958.51
904,4606.6
1080,3639.89
1216,2471.44
1047,2974.93
1185,2480.48
1243,2471.44
985,4616.27
1017,4656.42
1219,2480.48
1239,2466.08
842,4965.86
1043,3795.15
1231,2471.44
1256,2457.03
1042,4087.76
1240,2471.44
938,4958.51
981,2974.93
1067,4068.52
1100,4054.12
1073,2974.93
1250,2471.44
1159,3316.54
1297,2442.64
946,2973.22
1103,2974.93
1132,3597.47
1152,2480.48
919,4965.87
958,2973.22
1178,2974.93
1251,2457.03
1021,2973.22
1248,2471.44
1121,2974.93
1259,2471.44
1076,2974.93
695,4959.62
723,4959.62
907,3678.11
1114,2974.93
1143,2974.93
1007,4049.59
1272,2442.64
1087,2974.93
1085,4321.15
1113,2974.93
1260,2457.03
877,3387.71
1228,2956.0
1218,3314.8
1206,2457.03
967,3364.22
1141,2890.42
1235,2480.48
909,3387.71
952,3778.58
1265,2471.44
1156,3640.16
1208,2480.48
1296,2457.04
1135,3329.04
1186,3640.16
988,4611.67
1010,3387.71
1082,3682.74
1145,3602.0
1183,2956.0
1057,3757.67
1217,2471.44
1165,3757.67
834,3795.32
1220,2471.44
911,3795.15
920,4373.07
984,3795.32
1034,4339.59
1176,3616.71
924,3795.32
1062,4927.16
1099,3678.11
1214,3295.56
1282,2471.44
928,3795.32
1032,4378.61
934,3795.32
998,4958.52
1112,4068.83
1369,2419.18
1213,3700.74
1327,2433.58
1290,2471.44
1276,2922.67
1287,2946.97
1086,3677.73
1179,4297.66
1069,3678.13
1092,4632.65
1049,4958.52
1267,2471.44
1277,2471.44
1269,2480.48
1285,2471.44
1291,2480.48
1304,2471.44
1346,2457.04
1344,2471.44
1127,4049.59
1404,2442.64
1036,4373.02
1203,3786.12
1066,4087.66
1154,4583.07
1292,2471.44
937,3971.39
1116,2974.93
1148,4030.98
1237,3717.48
1109,4616.71
1041,4958.52
1090,4087.76
1321,2471.44
1196,2974.93
1386,2442.64
1233,3333.28
979,4372.9
1035,3387.71
1192,2974.93
1270,2956.0
1392,2442.64
1371,2419.18
960,4623.56
1194,2974.93
1418,2419.18
1388,2433.58
878,4373.08
1171,4650.84
1236,2974.93
1378,2471.44
1107,3387.71
1070,3387.71
1122,3387.54
1307,2941.6
1142,3755.13
1211,2890.42
1334,2466.08
1383,2457.04
1104,4087.76
1125,3795.15
1129,3682.74
1356,2457.03
1319,2480.48
1247,2974.93
989,3658.79
1019,3795.32
1204,3971.39
1212,2974.93
1357,2937.07
1102,4087.6
1184,3625.76
1249,2973.22
1244,2974.93
1358,2932.77
1421,2457.04
1246,2974.93
1317,3588.24
1351,2471.44
1210,4611.67
1399,2471.44
1074,4087.92
1083,3678.13
1164,4606.1
1181,4068.83
1182,2973.23
1223,3965.82
1322,3314.8
1120,4087.92
1268,4068.52
1428,2442.64
1117,3387.71
1221,2890.42
1436,2471.44
1314,2480.48
1328,2480.48
893,4665.26
1288,3359.27
1232,3678.11
1271,2974.93
1336,2946.97
1384,2965.9
1316,2480.48
1162,4342.13
1280,3631.17
943,4373.08
1301,2974.93
1026,4965.87
1405,2471.44
1375,2471.44
1325,3314.8
1389,2471.44
1391,2922.87
1245,4616.19
1409,2480.48
1452,2457.04
1420,2471.44
1294,3766.88
933,3387.2
1252,2973.22
1448,2457.04
1368,3724.19
1437,2471.44
986,3387.2
1311,3766.88
1308,3339.69
1440,2471.44
1029,4670.82
1453,2457.03
1349,2974.93
961,3795.32
1190,3740.93
1262,3747.64
1022,3795.15
1058,4373.08
1425,2442.63
1200,4637.17
1345,4002.71
1364,3588.44
1038,4670.83
1394,2480.48
1188,3971.39
1305,3340.03
1354,2956.0
1433,2457.03
1030,4668.11
1273,3668.54
1315,2974.93
1134,4087.76
1279,3647.36
1419,2956.0
1379,3623.62
1398,2922.67
1423,3338.29
1439,2471.44
1341,2974.93
1446,2471.44
1468,2457.04
1106,3387.54
1342,2974.93
1458,2471.44
1402,2442.63
1173,4667.95
1464,2480.48
1482,2471.44
1284,3755.13
1414,3623.62
1365,2937.07
1363,3605.18
1128,4087.92
1413,2956.0
1257,4632.65
1430,2480.48
1139,4087.92
1197,3795.32
1449,2480.48
1470,2480.48
1222,4651.57
1337,2890.42
1275,3795.32
1480,2480.48
1348,3338.29
1500,2480.48
1303,4616.19
1407,2974.93
1475,2457.03
1521,2442.63
990,3387.2
1503,2480.48
1359,2974.93
1520,2442.64
1264,4582.86
1312,3370.57
1331,4031.79
1119,3795.26
1450,2937.07
1227,4087.76
1548,2419.18
1496,2480.48
1381,2974.93
1512,2457.04
1467,2974.93
1189,3387.71
1461,2930.86
1465,2480.48
1443,2960.73
1474,2480.48
1326,3762.67
1046,4373.02
1224,4087.92
1238,4378.23
1516,2457.03
1225,4378.49
1234,4087.92
1522,2471.44
1329,2974.93
1573,2442.64
1253,4087.76
1501,2956.0
1355,2890.42
1385,4321.88
1490,2471.44
1241,4668.11
1460,2941.8
1498,2471.44
1226,3682.74
1050,3387.2
1140,4670.82
1333,2974.93
1299,3387.54
1361,4597.47
1254,3678.11
1302,3651.6
1541,2457.04
962,4670.82
1400,3642.55
1306,4630.59
1150,4670.82
1505,2480.48
1546,2471.44
1144,4373.02
1323,3682.24
1412,2973.22
1540,2480.48
1454,2937.07
1205,3387.71
1556,2480.48
1543,2480.48
1511,2960.73
1550,2480.48
1360,3387.71
1438,2974.93
1313,3387.71
1471,2974.93
1487,2974.93
1286,4364.35
1352,3387.71
1536,2471.44
1547,2457.04
1605,2433.58
1180,4965.87
1146,4670.82
1403,3387.71
1472,3866.92
1201,4670.82
1310,3387.54
1427,2956.0
1435,3881.32
1258,4373.08
1293,3933.54
1462,2974.93
1283,4087.76
1335,3387.54
1525,2471.44
1242,4958.52
1488,2974.93
1526,2471.44
1298,3387.71
1318,4651.89
1289,4087.76
1523,3597.47
1339,4087.76
1459,3926.26
1557,2480.48
1564,2471.44
1575,2471.44
1577,2471.44
1580,2471.44
1157,4670.82
1278,4951.44
1380,3965.82
1507,4012.55
1608,2471.44
1434,4336.28
1549,2471.44
1343,3971.39
1266,4373.07
1497,2974.93
1607,2457.03
1338,2974.93
1584,2960.73
1610,2471.44
1640,2471.44
1330,4373.07
1426,4068.52
1481,3359.27
1309,4087.92
1639,2442.64
1456,2973.23
1594,2937.07
1631,2457.04
1476,2890.42
1415,3387.54
1514,2974.93
1569,2457.03
1411,2974.93
1422,2974.93
1623,2457.03
